Region.Name	Uncertainty.Bounds*	1990.5	1991.5	1992.5	1993.5	1994.5	1995.5	1996.5	1997.5	1998.5	1999.5	2000.5	2001.5	2002.5	2003.5	2004.5	2005.5	2006.5	2007.5	2008.5	2009.5	2010.5	2011.5	2012.5	2013.5	2014.5	2015.5	2016.5	2017.5	2018.5	2019.5
Central Asia and Southern Asia	Lower	1378722	1336765	1294279	1251720	1208109	1162551	1116318	1069170	1020673	970500	921354	872717	825283	779654	739026	691353	648687	607701	567913	529733	491950	455283	419959	386239	354345	324891	297466	272462	249557	229427
Central Asia and Southern Asia	Median	1421963	1378732	1335677	1292557	1248046	1201947	1154355	1106004	1057118	1007502	957427	908197	860486	814110	772943	724824	681436	639037	597143	556250	516678	478405	441712	407175	375000	345896	319285	295403	274296	255547
Central Asia and Southern Asia	Upper	1468099	1423357	1378567	1334725	1289609	1243065	1195137	1145574	1096394	1045809	995495	945859	897523	851098	810580	761904	718137	674334	630436	586895	544510	503856	465417	429552	397480	368913	343995	321583	302485	287037
Central Asia	Lower	18000	18302	18759	18997	18777	18149	17183	15933	14586	13175	11766	10421	9199	8156	7293	6613	6076	5656	5337	5078	4868	4702	4560	4424	4282	4102	3919	3723	3546	3377
Central Asia	Median	19703	20016	20471	20678	20446	19792	18768	17471	16046	14548	13088	11674	10401	9311	8404	7662	7058	6569	6165	5835	5545	5298	5078	4887	4723	4572	4425	4280	4149	4014
Central Asia	Upper	21673	21987	22426	22635	22393	21706	20656	19319	17836	16312	14807	13373	12081	10970	10006	9173	8439	7839	7314	6846	6435	6070	5761	5505	5313	5218	5194	5211	5255	5299
Southern Asia	Lower	1358925	1316822	1273575	1230921	1187578	1142706	1097540	1051682	1004346	955907	908227	860903	814777	770318	730465	683489	641494	601203	561654	523869	486265	449884	414792	381310	349539	320227	292911	268004	245281	225330
Southern Asia	Median	1402260	1358716	1315206	1271879	1227600	1182155	1135587	1088533	1041072	992954	944339	896523	850085	804799	764539	717162	674378	632468	590978	550415	511133	473107	436634	402288	370277	341324	314860	291123	270147	251533
Southern Asia	Upper	1448423	1403189	1357996	1314005	1269071	1223214	1176071	1128102	1080166	1031082	982257	934076	887025	841778	802094	754038	710870	667567	624328	581039	538932	498510	460362	424625	392774	364299	339469	317206	298260	282781
Eastern Asia and South-eastern Asia	Lower	517564	501857	478743	449282	416089	382086	350785	322047	295574	270868	247110	225532	205101	186895	192680	156920	145317	135513	143590	118994	112187	105859	99829	94300	89101	84263	79520	74863	70319	65924
Eastern Asia and South-eastern Asia	Median	553102	534117	507213	474032	438116	402545	368618	337913	309698	283598	258767	235327	214235	195099	200914	164027	151745	141637	150677	124338	117293	111020	105028	99580	94576	89902	85320	80693	76402	72236
Eastern Asia and South-eastern Asia	Upper	596356	572355	539873	502160	462717	424201	388340	355709	326219	298905	272549	247609	224582	204458	210364	171849	158964	148423	158744	130907	123718	117463	111665	106475	101829	97651	93699	90009	86628	83386
Eastern Asia	Lower	283320	281969	272264	255944	234547	212167	191036	171874	154410	137940	122226	107942	94208	81952	71183	62135	55501	50141	45726	42287	39309	36726	34175	31978	30041	28125	26124	24008	21845	19758
Eastern Asia	Median	318530	313348	299848	279431	255578	231086	207649	186475	167239	149436	132455	116275	101638	88346	76780	67379	59673	53926	49128	44956	41666	38860	36097	33742	31546	29557	27669	25704	23894	22151
Eastern Asia	Upper	359994	350051	330871	305246	278340	250923	225737	202734	181911	162945	144447	126649	110170	95546	83239	72692	64317	57807	52531	48072	44253	41246	38304	35656	33275	31181	29311	27655	26193	24986
South-eastern Asia	Lower	225722	212357	199341	187175	175594	164692	154623	145299	136637	128558	120847	113743	107285	101557	118021	91619	87109	82795	95226	74729	70999	67412	64035	60855	57864	54926	52105	49375	46719	44145
South-eastern Asia	Median	234572	220769	207365	194601	182538	171459	160969	151438	142459	134162	126312	119052	112597	106753	124134	96648	92072	87711	101549	79382	75627	72160	68931	65838	63030	60345	57651	54989	52508	50085
South-eastern Asia	Upper	244767	230423	216606	203255	190831	179226	168379	158354	149205	140700	132642	125168	118486	112610	130896	102329	97721	93391	108966	85210	81497	78119	75125	72465	70080	67946	65905	64035	62362	60787
